cik	companyname	adsh	date	tag	label	value	report	datatype
1744489	WALT DISNEY CO	0001744489-21-000220	20190930	EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate	Federal income tax rate	0.2100	https://www.sec.gov/Archives/edgar/data/1744489/000174448921000220/R92.htm	percent	
1632790	ENERGIZER HOLDINGS, INC.	0001632790-21-000128	20210930	EffectiveIncomeTaxRateReconciliationForeignIncomeTaxRateDifferential	Foreign tax less than the federal rate, percent	0.0050	https://www.sec.gov/Archives/edgar/data/1632790/000163279021000128/R74.htm	percent	
857005	PTC INC.	0001564590-21-057806	20190930	IncomeTaxReconciliationTaxCreditsForeign	Foreign tax credit	0.0000	https://www.sec.gov/Archives/edgar/data/857005/000156459021057806/R62.htm	monetary	
857005	PTC INC.	0001564590-21-057806	20210930	EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate	Statutory federal income tax rate	0.2100	https://www.sec.gov/Archives/edgar/data/857005/000156459021057806/R62.htm	percent	
50725	GRIFFON CORP	0000050725-21-000068	20200930	EffectiveIncomeTaxRateReconciliationTaxCredits	Research and U.S. foreign tax credits	-0.0140	https://www.sec.gov/Archives/edgar/data/50725/000005072521000068/R82.htm	percent	
720005	RAYMOND JAMES FINANCIAL INC	0000720005-21-000106	20210930	EffectiveIncomeTaxRateReconciliationTaxCredits	Federal tax credits	0.0070	https://www.sec.gov/Archives/edgar/data/720005/000072000521000106/R118.htm	percent	
854775	DIGI INTERNATIONAL INC	0000854775-21-000018	20210930	EffectiveIncomeTaxRateReconciliationNondeductibleExpenseExecutiveCompensation	Non-deductible executive compensation	150000.0000	https://www.sec.gov/Archives/edgar/data/854775/000085477521000018/R79.htm	monetary	
1744489	WALT DISNEY CO	0001744489-21-000220	20190930	EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance	Valuation Allowance	0.0010	https://www.sec.gov/Archives/edgar/data/1744489/000174448921000220/R92.htm	percent	
913760	STONEX GROUP INC.	0000913760-21-000189	20200930	EffectiveIncomeTaxRateReconciliationTaxHolidays	Income tax rate holiday	-0.0080	https://www.sec.gov/Archives/edgar/data/913760/000091376021000189/R104.htm	percent	
823277	CHS INC	0000823277-21-000044	20200831	EffectiveIncomeTaxRateReconciliationDeductionsQualifiedProductionActivities	Domestic production activities deduction	0.1900	https://www.sec.gov/Archives/edgar/data/823277/000082327721000044/R73.htm	percent	
857005	PTC INC.	0001564590-21-057806	20210930	IncomeTaxExpenseBenefit	Total provision (benefit) for income taxes	9900000.0000	https://www.sec.gov/Archives/edgar/data/857005/000156459021057806/R62.htm	monetary	
720005	RAYMOND JAMES FINANCIAL INC	0000720005-21-000106	20210930	EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes	State income tax, net of federal benefit	0.0330	https://www.sec.gov/Archives/edgar/data/720005/000072000521000106/R118.htm	percent	
854775	DIGI INTERNATIONAL INC	0000854775-21-000018	20210930	EffectiveIncomeTaxRateReconciliationCapitalLossExpiration	Effective Income Tax Rate Reconciliation, Capital Loss Expiration	2301000.0000	https://www.sec.gov/Archives/edgar/data/854775/000085477521000018/R79.htm	monetary	
1048695	F5, INC.	0001048695-21-000044	20190930	IncomeTaxReconciliationTaxCreditsResearch	Research and development and other credits	12760000.0000	https://www.sec.gov/Archives/edgar/data/1048695/000104869521000044/R75.htm	monetary	
108312	WOODWARD, INC.	0001564590-21-057773	20190930	EffectiveIncomeTaxRateReconciliationShareBasedCompensationExcessTaxBenefitPercent	Compensation and benefits	0.0030	https://www.sec.gov/Archives/edgar/data/108312/000156459021057773/R119.htm	percent	
807882	JACK IN THE BOX INC /NEW/	0000807882-21-000016	20210930	EffectiveIncomeTaxRateReconciliationTaxCredits	Benefit of jobs tax credits, net of valuation allowance	0.0010	https://www.sec.gov/Archives/edgar/data/807882/000080788221000016/R77.htm	percent	
10795	BECTON DICKINSON & CO	0000010795-21-000091	20190930	EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance	Effective Income Tax Rate Reconciliation, Change in Deferred Tax Assets Valuation Allowance, Percent	0.0000	https://www.sec.gov/Archives/edgar/data/10795/000001079521000091/R94.htm	percent	
1308547	DOLBY LABORATORIES, INC.	0001628280-21-023630	20200930	EffectiveIncomeTaxRateContinuingOperations	Effective tax rate	0.0340	https://www.sec.gov/Archives/edgar/data/1308547/000162828021023630/R89.htm	percent	
1314727	SONOS INC	0001314727-21-000039	20190930	IncomeTaxReconciliationForeignIncomeTaxRateDifferential	Foreign income tax rate differential	129000.0000	https://www.sec.gov/Archives/edgar/data/1314727/000131472721000039/R69.htm	monetary	
1782754	AZEK CO INC.	0001564590-21-057997	20210930	EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance	Increase in valuation allowance	-0.0020	https://www.sec.gov/Archives/edgar/data/1782754/000156459021057997/R88.htm	percent	
21510	COHERENT INC	0000021510-21-000060	20210930	IncomeTaxReconciliationForeignIncomeTaxRateDifferential	Taxes on foreign earnings at rates greater (less) than U.S. rates, net	8326000.0000	https://www.sec.gov/Archives/edgar/data/21510/000002151021000060/R101.htm	monetary	
823277	CHS INC	0000823277-21-000044	20200831	EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance	Valuation allowance	-0.0100	https://www.sec.gov/Archives/edgar/data/823277/000082327721000044/R73.htm	percent	
46765	HELMERICH & PAYNE, INC.	0000046765-21-000044	20190930	EffectiveIncomeTaxRateReconciliationContingentConsiderationAdjustment	Contingent consideration adjustment	0.0450	https://www.sec.gov/Archives/edgar/data/46765/000004676521000044/R69.htm	percent	
720005	RAYMOND JAMES FINANCIAL INC	0000720005-21-000106	20190930	EffectiveIncomeTaxRateReconciliationIncomeLossonCOLIWhichAreNotSubjecttoTax	Gains on company-owned life insurance policies which are not subject to tax	0.0010	https://www.sec.gov/Archives/edgar/data/720005/000072000521000106/R118.htm	percent	
1718227	CONSTRUCTION PARTNERS, INC.	0001718227-21-000107	20200930	IncomeTaxExpenseBenefit	Provision for income taxes	0.0000	https://www.sec.gov/Archives/edgar/data/1718227/000171822721000107/R90.htm	monetary	
1314727	SONOS INC	0001314727-21-000039	20190930	IncomeTaxReconciliationStateAndLocalIncomeTaxes	U.S. state and local income taxes, net of federal benefit and state credits	-9315000.0000	https://www.sec.gov/Archives/edgar/data/1314727/000131472721000039/R69.htm	monetary	
1782754	AZEK CO INC.	0001564590-21-057997	20210930	IncomeTaxReconciliationNondeductibleExpenseShareBasedCompensationCost	Stock-based compensation	1379000.0000	https://www.sec.gov/Archives/edgar/data/1782754/000156459021057997/R88.htm	monetary	
1493594	MACOM TECHNOLOGY SOLUTIONS HOLDINGS, INC.	0001493594-21-000079	20210930	EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes	State taxes net of federal benefit	0.0200	https://www.sec.gov/Archives/edgar/data/1493594/000149359421000079/R95.htm	percent	
1581280	TWIST BIOSCIENCE CORP	0001104659-21-142700	20210930	EffectiveIncomeTaxRateReconciliationBusinessCombinationPercent	Business combination	-0.0200	https://www.sec.gov/Archives/edgar/data/1581280/000110465921142700/R61.htm	percent	
807882	JACK IN THE BOX INC /NEW/	0000807882-21-000016	20200930	EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes	State income taxes, net of federal tax benefit	0.0530	https://www.sec.gov/Archives/edgar/data/807882/000080788221000016/R77.htm	percent	
1308547	DOLBY LABORATORIES, INC.	0001628280-21-023630	20200930	EffectiveIncomeTaxRateContinuingOperations	Effective tax rate	0.0340	https://www.sec.gov/Archives/edgar/data/1308547/000162828021023630/R89.htm	percent	
46765	HELMERICH & PAYNE, INC.	0000046765-21-000044	20190930	EffectiveIncomeTaxRateReconciliationOfficersCompensation	Excess officer's compensation	-0.0190	https://www.sec.gov/Archives/edgar/data/46765/000004676521000044/R69.htm	percent	
1718227	CONSTRUCTION PARTNERS, INC.	0001718227-21-000107	20210930	IncomeTaxExpenseBenefit	Provision for income taxes	8349000.0000	https://www.sec.gov/Archives/edgar/data/1718227/000171822721000107/R90.htm	monetary	
21510	COHERENT INC	0000021510-21-000060	20210930	IncomeTaxReconciliationNondeductibleExpenseShareBasedCompensationCost	Stock-based compensation	4351000.0000	https://www.sec.gov/Archives/edgar/data/21510/000002151021000060/R101.htm	monetary	
21510	COHERENT INC	0000021510-21-000060	20190930	UnrecognizedTaxBenefitsInterestOnIncomeTaxesExpense	Release of interest accrued for unrecognized tax benefits	-205000.0000	https://www.sec.gov/Archives/edgar/data/21510/000002151021000060/R101.htm	monetary	
1127475	DIGITAL BRAND MEDIA & MARKETING GROUP, INC.	0001185185-21-001609	20200831	IncomeTaxReconciliationOtherAdjustments	Permanent differences (primarily change in fair value of derivative liability)	-3000.0000	https://www.sec.gov/Archives/edgar/data/1127475/000118518521001609/R47.htm	monetary	
1140859	AMERISOURCEBERGEN CORP	0001140859-21-000058	20200930	EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate	Statutory U.S. federal income tax rate	0.2100	https://www.sec.gov/Archives/edgar/data/1140859/000114085921000058/R59.htm	percent	
1002517	NUANCE COMMUNICATIONS, INC.	0001002517-21-000052	20210930	IncomeTaxExpenseBenefit	Provision (benefit) for income taxes	5408000.0000	https://www.sec.gov/Archives/edgar/data/1002517/000100251721000052/R106.htm	monetary	
857005	PTC INC.	0001564590-21-057806	20190930	EffectiveIncomeTaxRateReconciliationTaxSettlements	Audits and settlements	0.0000	https://www.sec.gov/Archives/edgar/data/857005/000156459021057806/R62.htm	percent	
1024478	ROCKWELL AUTOMATION, INC	0001024478-21-000083	20190930	Effectiveincometaxratereconciliationforeignderivedintangibleincome	Foreign-derived intangible income	-0.0160	https://www.sec.gov/Archives/edgar/data/1024478/000102447821000083/R102.htm	percent	
1696195	KINETIC GROUP INC.	0001493152-21-027604	20200930	DeferredTaxAssetsNet	Deferred tax assets, net of valuation allowance		https://www.sec.gov/Archives/edgar/data/1696195/000149315221027604/R26.htm	monetary	
1127475	DIGITAL BRAND MEDIA & MARKETING GROUP, INC.	0001185185-21-001609	20210831	IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance	Increase in valuation allowance	-179000.0000	https://www.sec.gov/Archives/edgar/data/1127475/000118518521001609/R47.htm	monetary	
854775	DIGI INTERNATIONAL INC	0000854775-21-000018	20200930	IncomeTaxExpenseBenefit	Income tax (benefit) expense	-948000.0000	https://www.sec.gov/Archives/edgar/data/854775/000085477521000018/R79.htm	monetary	
1670541	ADIENT PLC	0001670541-21-000133	20200930	IncomeTaxExpenseBenefit	Income tax provision	57000000.0000	https://www.sec.gov/Archives/edgar/data/1670541/000167054121000133/R97.htm	monetary	
1581280	TWIST BIOSCIENCE CORP	0001104659-21-142700	20210930	EffectiveIncomeTaxRateReconciliationShareBasedCompensationExcessTaxBenefitPercent	Stock-based compensation	0.1200	https://www.sec.gov/Archives/edgar/data/1581280/000110465921142700/R61.htm	percent	
1378992	BERRY GLOBAL GROUP, INC.	0001140361-21-038583	20200930	IncomeTaxExpenseBenefit	Expense for income taxes	154000000.0000	https://www.sec.gov/Archives/edgar/data/1378992/000114036121038583/R53.htm	monetary	
1368458	SALLY BEAUTY HOLDINGS, INC.	0001564590-21-057810	20200930	EffectiveIncomeTaxRateReconciliationOtherAdjustments	Other, net	0.0020	https://www.sec.gov/Archives/edgar/data/1368458/000156459021057810/R85.htm	percent	
915840	BEAZER HOMES USA INC	0000915840-21-000055	20210930	IncomeTaxExpenseBenefit	Total expense (benefit)	21546000.0000	https://www.sec.gov/Archives/edgar/data/915840/000091584021000055/R74.htm	monetary	
1118417	MODEL N, INC.	0001118417-21-000166	20200930	IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate	Tax at statutory federal rate	-2699000.0000	https://www.sec.gov/Archives/edgar/data/1118417/000111841721000166/R74.htm	monetary	
