cik	companyname	adsh	date	tag	label	value	report	datatype
88572	SECURITY LAND & DEVELOPMENT CORP	0001003297-13-000567	20120930	IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest	Income before income taxes	461769.0000	https://www.sec.gov/Archives/edgar/data/88572/000100329713000567/R27.htm	monetary	
88572	SECURITY LAND & DEVELOPMENT CORP	0001003297-13-000567	20130930	IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest	Income before income taxes	626618.0000	https://www.sec.gov/Archives/edgar/data/88572/000100329713000567/R27.htm	monetary	
109177	HARBINGER GROUP INC.	0000109177-13-000026	20110930	IncomeTaxExpenseBenefit	Reported income tax expense (benefit)	50600000.0000	https://www.sec.gov/Archives/edgar/data/109177/000010917713000026/R155.htm	monetary	
109177	HARBINGER GROUP INC.	0000109177-13-000026	20120930	IncomeTaxExpenseBenefit	Reported income tax expense (benefit)	-85300000.0000	https://www.sec.gov/Archives/edgar/data/109177/000010917713000026/R155.htm	monetary	
109177	HARBINGER GROUP INC.	0000109177-13-000026	20130930	IncomeTaxExpenseBenefit	Reported income tax expense (benefit)	187300000.0000	https://www.sec.gov/Archives/edgar/data/109177/000010917713000026/R155.htm	monetary	
109177	HARBINGER GROUP INC.	0000109177-13-000026	20110930	IncomeTaxExpenseBenefit	Reported income tax expense (benefit)	0.0000	https://www.sec.gov/Archives/edgar/data/109177/000010917713000026/R155.htm	monetary	
109177	HARBINGER GROUP INC.	0000109177-13-000026	20120930	IncomeTaxExpenseBenefit	Reported income tax expense (benefit)		https://www.sec.gov/Archives/edgar/data/109177/000010917713000026/R155.htm	monetary	
109177	HARBINGER GROUP INC.	0000109177-13-000026	20130930	IncomeTaxExpenseBenefit	Reported income tax expense (benefit)	100000.0000	https://www.sec.gov/Archives/edgar/data/109177/000010917713000026/R155.htm	monetary	
109177	HARBINGER GROUP INC.	0000109177-13-000026	20110930	IncomeTaxExpenseBenefit	Reported income tax expense (benefit)	0.0000	https://www.sec.gov/Archives/edgar/data/109177/000010917713000026/R155.htm	monetary	
109177	HARBINGER GROUP INC.	0000109177-13-000026	20120930	IncomeTaxExpenseBenefit	Reported income tax expense (benefit)	0.0000	https://www.sec.gov/Archives/edgar/data/109177/000010917713000026/R155.htm	monetary	
109177	HARBINGER GROUP INC.	0000109177-13-000026	20130930	IncomeTaxExpenseBenefit	Reported income tax expense (benefit)	-1200000.0000	https://www.sec.gov/Archives/edgar/data/109177/000010917713000026/R155.htm	monetary	
109177	HARBINGER GROUP INC.	0000109177-13-000026	20110930	IncomeTaxExpenseBenefit	Reported income tax expense (benefit)	0.0000	https://www.sec.gov/Archives/edgar/data/109177/000010917713000026/R155.htm	monetary	
109177	HARBINGER GROUP INC.	0000109177-13-000026	20120930	IncomeTaxExpenseBenefit	Reported income tax expense (benefit)		https://www.sec.gov/Archives/edgar/data/109177/000010917713000026/R155.htm	monetary	
